Interval=	0.001 s
ExcelDateTime=	4.5034649974269007e+004	18/04/2023 15:35:57.776842
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	ECG	Finapres derivative	Finapres NIBP	SBP	DBP	MAP	Heart rate
Range=	5.000 mV	1508.32 mmHg/s	10.000 V	100.0000 mmHg	100.0000 mmHg	100.0170 mmHg	110 BPM
UnitName=	*	*	mmHg	*	*	*	*
TopValue=	*	*	1000.00	*	*	*	*
BottomValue=	*	*	-1000.00	*	*	*	*
262.981	-0.4429724	-163.0682	95.03125	NaN	NaN	NaN	NaN
262.982	-0.4414181	-186.08	94.78125	NaN	NaN	NaN	NaN
262.983	-0.4418598	-188.352	94.625	NaN	NaN	NaN	NaN
262.984	-0.4454243	-183.8069	94.53125	NaN	NaN	NaN	NaN
262.985	-0.4519603	-176.1366	94.09375	NaN	NaN	NaN	NaN
262.986	-0.459985	-171.8752	94.03125	NaN	NaN	NaN	NaN
262.987	-0.4666115	-160.2275	93.84375	NaN	NaN	NaN	NaN
262.988	-0.4679981	-145.7387	93.6875	NaN	NaN	NaN	NaN
262.989	-0.4608184	-141.1931	93.59375	NaN	NaN	NaN	NaN
262.99	-0.4427184	-137.216	93.5	NaN	NaN	NaN	NaN
262.991	-0.4133074	-146.8753	93.28125	NaN	NaN	NaN	NaN
262.992	-0.3743614	-150.8519	93.21875	NaN	NaN	NaN	NaN
262.993	-0.3295005	-162.5003	93.21875	NaN	NaN	NaN	NaN
262.994	-0.2837444	-165.0569	92.875	NaN	NaN	NaN	NaN
262.995	-0.2416665	-162.4996	92.625	NaN	NaN	NaN	NaN
262.996	-0.2068011	-156.2501	92.46875	NaN	NaN	NaN	NaN
262.997	-0.181116	-140.0565	92.34375	NaN	NaN	NaN	NaN
262.998	-0.1649244	-127.273	92.0625	NaN	NaN	NaN	NaN
262.999	-0.1574114	-102.8409	92.09375	NaN	NaN	NaN	NaN
263	-0.1565812	-83.80723	92	NaN	NaN	NaN	NaN
